Method,Average_Accuracy,Average_Time_Sec,Average_Memory_MB,Data_Amount
Baseline,0.8906602768195222,0.058108761503889717,0.2522170608108108,
Class_0.2,0.6082367679298465,0.010995529793404197,0.08773226351351351,0.2
Class_0.5,0.5851745584210962,0.02639083604554867,0.13302364864864866,0.5
Class_0.8,0.4469718447832751,0.03775858234714813,0.20407516891891891,0.8
PCA,0.8905886384500116,0.03253401936711487,0.13629645270270271,
Random_0.2,0.8082437275985663,0.013538502358101456,0.08709881756756757,0.2
Random_0.5,0.8371326164874552,0.03167807733690411,0.12626689189189189,0.5
Random_0.8,0.8173835125448029,0.046907270276868626,0.19784628378378377,0.8
recent_0.2,0.7763440860215054,0.010158409943451713,0.0859375,0.2
recent_0.5,0.828673835125448,0.022909112878747837,0.13038429054054054,0.5
recent_0.8,0.8630742781720141,0.03327988933872528,0.20122466216216217,0.8
