Method,Bucket,Operation,Time_Sec,Memory_MB,CPU_Usage_Percent,Accuracy
kNN,bucket_1.arff,Load,0.05975794792175293,1.61328125,,
kNN,bucket_10.arff,Load,0.05714893341064453,0.64453125,,
kNN,bucket_2.arff,Load,0.05692481994628906,0.01953125,,
kNN,bucket_3.arff,Load,0.05807304382324219,0.02734375,,
kNN,bucket_4.arff,Load,0.0563359260559082,0.00390625,,
kNN,bucket_5.arff,Load,0.05566096305847168,0.02734375,,
kNN,bucket_6.arff,Load,0.055989980697631836,0.015625,,
kNN,bucket_7.arff,Load,0.05880904197692871,0.0078125,,
kNN,bucket_8.arff,Load,0.05730605125427246,0.03125,,
kNN,bucket_9.arff,Load,0.058496952056884766,0.0078125,,
kNN,bucket_1.arff,Scaling,0.004703044891357422,0.3671875,,
kNN,bucket_1.arff,Training,0.004067182540893555,0.39453125,,
kNN,bucket_1.arff,Prediction,0.05945706367492676,0.375,,
kNN,bucket_1.arff,Accuracy,0,0,,1.0
kNN,bucket_10.arff,Scaling,0.0038280487060546875,0.20703125,,
kNN,bucket_10.arff,Training,0.001461029052734375,0.30859375,,
kNN,bucket_10.arff,Prediction,0.11930584907531738,0.03515625,,
kNN,bucket_10.arff,Accuracy,0,0,,1.0
kNN,bucket_2.arff,Scaling,0.0025358200073242188,0.0859375,,
kNN,bucket_2.arff,Training,0.0010480880737304688,0.0625,,
kNN,bucket_2.arff,Prediction,0.055711984634399414,0.015625,,
kNN,bucket_2.arff,Accuracy,0,0,,1.0
kNN,bucket_3.arff,Scaling,0.002421855926513672,0.08984375,,
kNN,bucket_3.arff,Training,0.0012810230255126953,0.05859375,,
kNN,bucket_3.arff,Prediction,0.05843496322631836,0.140625,,
kNN,bucket_3.arff,Accuracy,0,0,,0.25290322580645164
kNN,bucket_4.arff,Scaling,0.0024161338806152344,0.02734375,,
kNN,bucket_4.arff,Training,0.0010900497436523438,0.0,,
kNN,bucket_4.arff,Prediction,0.05316567420959473,0.0,,
kNN,bucket_4.arff,Accuracy,0,0,,0.9032258064516129
kNN,bucket_5.arff,Scaling,0.0028238296508789062,0.05078125,,
kNN,bucket_5.arff,Training,0.0011110305786132812,0.0078125,,
kNN,bucket_5.arff,Prediction,0.053663015365600586,0.0,,
kNN,bucket_5.arff,Accuracy,0,0,,1.0
kNN,bucket_6.arff,Scaling,0.002354145050048828,0.0,,
kNN,bucket_6.arff,Training,0.0012259483337402344,0.015625,,
kNN,bucket_6.arff,Prediction,0.05217885971069336,0.01171875,,
kNN,bucket_6.arff,Accuracy,0,0,,1.0
kNN,bucket_7.arff,Scaling,0.0023779869079589844,0.0,,
kNN,bucket_7.arff,Training,0.001035928726196289,0.0,,
kNN,bucket_7.arff,Prediction,0.050994873046875,0.0078125,,
kNN,bucket_7.arff,Accuracy,0,0,,0.7329032258064516
kNN,bucket_8.arff,Scaling,0.0023779869079589844,0.0,,
kNN,bucket_8.arff,Training,0.0013818740844726562,0.0,,
kNN,bucket_8.arff,Prediction,0.05513191223144531,0.01171875,,
kNN,bucket_8.arff,Accuracy,0,0,,0.6451612903225806
